id,employee_id,customer_id,order_date,shipped_date,shipper_id,ship_name,ship_address,ship_city,ship_state_province,ship_zip_postal_code,ship_country_region,shipping_fee,taxes,payment_type,paid_date,notes,tax_rate,tax_status_id,status_id
sdv-id-nmXsPr,6,11,2006-04-29 11:08:58,,1.0,Peter Krschne,9583:1844:cbcc:762b:8919:a987:6d91:f67a,Michaelview,North Dakota,55253,USA,0.0,0.0,,,,0.0,,3
sdv-id-lBMKxA,4,26,2006-05-21 02:47:38,,2.0,Run Liu,8f93:ab17:9108:4d53:76c2:bcb:4021:b476,South Joshua,Nebraska,38627,USA,53.0,0.0,,,,0.0,,3
sdv-id-cUvgcD,7,3,2006-03-28 02:35:14,,1.0,Soo Jung Lee,9df1:a728:e0bc:c:44f1:dc9f:888f:e19b,Jacksonmouth,Tennessee,91741,USA,1.0,0.0,,,,0.0,,3
sdv-id-DmDiHx,2,3,2006-04-24 07:48:10,2006-04-12,,Elizabeth Andersen,acbe:e01d:caf5:6384:4fc9:aa4f:5087:5fbc,Port Claudiaton,Nevada,82349,USA,0.0,0.0,,2006-04-12,,0.0,,3
sdv-id-mEvqeg,2,4,2006-04-10 15:05:02,2006-03-12,3.0,Karen Toh,b96:cc91:1554:994:934:365a:cf57:a920,Perryfort,Alabama,11557,USA,0.0,0.0,Cash,2006-03-14,,0.0,,0
sdv-id-uyCxap,1,8,2006-01-15 00:00:00,2006-01-22,1.0,Elizabeth Andersen,abd4:dc5e:ad3f:ee72:d961:196e:b5c7:25bf,Donaldville,North Carolina,34089,USA,0.0,0.0,Credit Card,2006-01-17,,0.0,,3
sdv-id-FvLHRe,3,11,2006-04-09 19:06:00,,3.0,Roland Wacker,cc62:54df:1e7c:f4dc:c398:6320:6c7c:3915,South Peter,North Carolina,34904,USA,0.0,0.0,,2006-04-10,,0.0,,0
sdv-id-RgfJpe,2,12,2006-06-06 20:49:41,2006-05-25,1.0,Christina Lee,402a:ac2c:7a43:8238:af8d:f8f4:cf6c:2368,East Meganview,Oklahoma,16122,USA,0.0,0.0,Check,2006-05-25,,0.0,,3
sdv-id-NupAte,9,6,2006-05-26 20:28:25,2006-05-23,2.0,Francisco Pérez-Olaeta,7e60:4336:8779:5092:491:7438:e5fd:a9e8,Lake Sydneyfurt,Louisiana,21376,USA,0.0,0.0,Check,2006-05-22,,0.0,,3
sdv-id-ICvFcN,9,4,2006-01-25 12:45:10,2006-02-21,2.0,Christina Lee,13d6:a6e7:9aa8:f6b2:c0f5:e2a6:5e1a:6b13,North Sean,Alaska,03469,USA,254.0,0.0,Check,,,0.0,,0
sdv-id-WAhGzm,2,4,2006-05-18 00:16:05,,2.0,Christina Lee,1d1a:4dac:8bd6:793a:6044:e5b0:5d0c:535a,Klineland,Alabama,87401,USA,1.0,0.0,Credit Card,2006-04-25,,0.0,,3
sdv-id-rFjkAu,7,4,2006-06-04 06:55:46,,,Christina Lee,6d0a:ac2f:2539:179:a49e:e39e:6378:1916,East Sarahport,Michigan,96649,USA,191.0,0.0,,,,0.0,,0
sdv-id-TwaTyT,3,6,2006-05-31 08:23:18,,,Francisco Pérez-Olaeta,985:271f:96f:b09c:d82f:13a0:905f:d6de,Duncanfort,Pennsylvania,01674,USA,0.0,0.0,,,,0.0,,0
